driver,target_station,spearman_r,p_value,abs_correlation
omni_vx,TRO,-0.47502993223151335,0.0,0.47502993223151335
omni_vx,ABK,-0.46249014441904623,0.0,0.46249014441904623
omni_vx,BJN,-0.40509773692254847,0.0,0.40509773692254847
newell_phi,TRO,0.39657715754034767,0.0,0.39657715754034767
newell_phi,ABK,0.39375164899351633,0.0,0.39375164899351633
newell_phi,BJN,0.33843787391431246,0.0,0.33843787391431246
omni_pressure,ABK,0.33093597225567445,0.0,0.33093597225567445
omni_pressure,TRO,0.3026368748842948,0.0,0.3026368748842948
omni_bz_gsm,TRO,-0.25774376651776504,0.0,0.25774376651776504
omni_bz_gsm,ABK,-0.2516760559196899,0.0,0.2516760559196899
omni_pressure,BJN,0.224433336357069,0.0,0.224433336357069
omni_bz_gsm,BJN,-0.2234934853938157,0.0,0.2234934853938157
goes_xrsb_flux_log10,TRO,0.14856561967410836,0.0,0.14856561967410836
goes_xrsb_flux_log10,ABK,0.13807469872688188,0.0,0.13807469872688188
omni_proton_density,BJN,-0.08082902576240872,0.0,0.08082902576240872
goes_xrsb_flux_log10,BJN,0.07393870655160101,0.0,0.07393870655160101
omni_proton_density,TRO,-0.06849044822948458,0.0,0.06849044822948458
omni_proton_density,ABK,-0.03197128166982622,0.0,0.03197128166982622
