feature,shap_importance,station,source
ut_cos,1.4408113274387395,ABK,SHAP
newell_phi_mean_30m,0.9436211999820382,ABK,SHAP
ut_sin,0.7479798960405556,ABK,SHAP
omni_vx,0.5037494416069835,ABK,SHAP
omni_bz_gsm,0.3709292486146902,ABK,SHAP
omni_by_gsm,0.360381812382651,ABK,SHAP
omni_f,0.3259307797334669,ABK,SHAP
omni_vx_mean_10m,0.3256230563029653,ABK,SHAP
omni_pressure,0.2893353336617907,ABK,SHAP
goes_bx_gsm,0.2650505206910278,ABK,SHAP
omni_bz_gsm_mean_10m,0.2582434861519608,ABK,SHAP
omni_vx_mean_30m,0.2430115631438016,ABK,SHAP
goes_by_gsm,0.2218996671174501,ABK,SHAP
goes_xrsa_log10_roll_max_60m,0.2096744765630294,ABK,SHAP
goes_bt,0.2038326492948923,ABK,SHAP
doy_cos,0.1765511869058827,ABK,SHAP
leo_dayside,0.1658641619631163,ABK,SHAP
goes_bz_gsm,0.1307487133982927,ABK,SHAP
newell_phi_mean_10m,0.1080478758971892,ABK,SHAP
omni_bz_gsm_mean_30m,0.0860408302019758,ABK,SHAP
leo_high_lat,0.0841481446264901,ABK,SHAP
newell_phi_std_30m,0.0759631668370761,ABK,SHAP
omni_bz_gsm_std_30m,0.072114581848331,ABK,SHAP
goes_xrsb_log10_lag_60m,0.0719269720174073,ABK,SHAP
leo_mid_lat,0.0704557121442154,ABK,SHAP
omni_bz_gsm_std_10m,0.0696333895109326,ABK,SHAP
newell_phi,0.0589894472136504,ABK,SHAP
goes_xrsa_log10_roll_mean_60m,0.0545728371460349,ABK,SHAP
leo_nightside,0.0503669305628203,ABK,SHAP
omni_proton_density,0.0397129092928773,ABK,SHAP
goes_xrsb_log10_roll_mean_60m,0.0352025497083532,ABK,SHAP
goes_xrsa_log10_lag_5m,0.0346050018336379,ABK,SHAP
goes_xrsb_minus_xrsa_log10,0.03449833410729,ABK,SHAP
omni_vx_std_30m,0.0332087660368747,ABK,SHAP
goes_xrsb_flux,0.0314614327781234,ABK,SHAP
newell_phi_std_10m,0.0313747690273055,ABK,SHAP
goes_xrsa_log10_lag_15m,0.0312948113671947,ABK,SHAP
goes_xrsa_log10_lag_60m,0.0308111561595763,ABK,SHAP
goes_xrsb_log10_roll_max_60m,0.0293905751213145,ABK,SHAP
omni_vx_valid_points_10m,0.0275936427444348,ABK,SHAP
goes_xrsb_flux_log10,0.0271903230008368,ABK,SHAP
goes_xrsb_log10_lag_15m,0.0252502654052429,ABK,SHAP
goes_xrsa_log10_roll_mean_15m,0.0247274626166657,ABK,SHAP
goes_xrsa_flux,0.023780482678364,ABK,SHAP
omni_vx_std_10m,0.0231634001192739,ABK,SHAP
omni_vx_valid_points_30m,0.0225815723807657,ABK,SHAP
doy_sin,0.0224745836961454,ABK,SHAP
goes_xrsb_log10_roll_mean_15m,0.0201026674393067,ABK,SHAP
leo_high_lat_count,0.0194288431471951,ABK,SHAP
goes_xrsb_log10_lag_5m,0.0188845259037885,ABK,SHAP
leo_nightside_count,0.0186117251724508,ABK,SHAP
omni_bx_gse,0.0180949814205075,ABK,SHAP
omni_bz_gsm_valid_points_30m,0.0179283067741045,ABK,SHAP
omni_bz_gsm_valid_points_10m,0.017538486818963,ABK,SHAP
newell_phi_valid_points_30m,0.0170173011980774,ABK,SHAP
newell_phi_valid_points_10m,0.0110976218675721,ABK,SHAP
leo_dayside_count,0.0094161858766931,ABK,SHAP
goes_xrsa_flux_log10,0.0088855887086191,ABK,SHAP
leo_mid_lat_count,0.0048884350321307,ABK,SHAP
goes_xrsa_log10_roll_nvalid_60m,0.0039839273816333,ABK,SHAP
goes_xrsb_log10_roll_nvalid_60m,0.0008693560083444,ABK,SHAP
goes_xrsa_log10_roll_nvalid_15m,0.0004181799729841,ABK,SHAP
goes_xrsb_log10_roll_nvalid_15m,0.0001218843275366,ABK,SHAP
goes_by_gsm,6.002972438521006,ABK,LR_coefficient
goes_bx_gsm,4.521824504028959,ABK,LR_coefficient
ut_sin,0.955577789680003,ABK,LR_coefficient
omni_vx,0.6840518255618783,ABK,LR_coefficient
omni_vx_valid_points_10m,0.6263747040137493,ABK,LR_coefficient
goes_bt,0.6205480228569356,ABK,LR_coefficient
goes_xrsb_log10_lag_15m,0.5727322482427044,ABK,LR_coefficient
doy_cos,0.5436024941503615,ABK,LR_coefficient
newell_phi_valid_points_10m,0.4314574019373889,ABK,LR_coefficient
omni_bz_gsm_valid_points_10m,0.4112125229444657,ABK,LR_coefficient
omni_bz_gsm,0.3891953952701525,ABK,LR_coefficient
omni_pressure,0.3600216745116329,ABK,LR_coefficient
omni_vx_valid_points_30m,0.354351936795261,ABK,LR_coefficient
goes_xrsa_flux,0.3300185186477746,ABK,LR_coefficient
goes_xrsb_flux,0.3056980361701631,ABK,LR_coefficient
omni_bz_gsm_mean_30m,0.3049646340671556,ABK,LR_coefficient
omni_bz_gsm_mean_10m,0.286203472982945,ABK,LR_coefficient
ut_cos,0.280274638910531,ABK,LR_coefficient
omni_vx_mean_30m,0.2784875721807906,ABK,LR_coefficient
goes_xrsa_log10_roll_mean_60m,0.2446695399360713,ABK,LR_coefficient
omni_f,0.2261586012295565,ABK,LR_coefficient
newell_phi_valid_points_30m,0.2259551248402113,ABK,LR_coefficient
goes_xrsb_log10_roll_max_60m,0.2170606779557268,ABK,LR_coefficient
leo_dayside,0.2035866786429294,ABK,LR_coefficient
omni_bz_gsm_std_30m,0.1997680015238061,ABK,LR_coefficient
omni_proton_density,0.1769178013364789,ABK,LR_coefficient
goes_xrsb_flux_log10,0.1683424935422635,ABK,LR_coefficient
goes_xrsa_log10_roll_mean_15m,0.1658338727888863,ABK,LR_coefficient
doy_sin,0.1620273613649203,ABK,LR_coefficient
goes_bz_gsm,0.1581986482875311,ABK,LR_coefficient
newell_phi_mean_10m,0.1293229843679348,ABK,LR_coefficient
omni_by_gsm,0.1222812769062192,ABK,LR_coefficient
goes_xrsa_log10_lag_60m,0.120760994935325,ABK,LR_coefficient
goes_xrsb_minus_xrsa_log10,0.1177579146700596,ABK,LR_coefficient
goes_xrsa_log10_roll_max_60m,0.1167991448568443,ABK,LR_coefficient
goes_xrsb_log10_roll_mean_60m,0.112597220685022,ABK,LR_coefficient
leo_nightside,0.1072797579945046,ABK,LR_coefficient
omni_bz_gsm_valid_points_30m,0.0947108255572674,ABK,LR_coefficient
leo_high_lat_count,0.0928880341263468,ABK,LR_coefficient
