feature,coefficient
goes_by_gsm,-6.002972438521006
goes_bx_gsm,4.521824504028959
ut_sin,-0.955577789680003
omni_vx,-0.6840518255618783
omni_vx_valid_points_10m,-0.6263747040137493
goes_bt,0.6205480228569356
goes_xrsb_log10_lag_15m,0.5727322482427044
doy_cos,0.5436024941503615
newell_phi_valid_points_10m,0.43145740193738896
omni_bz_gsm_valid_points_10m,-0.4112125229444657
omni_bz_gsm,-0.38919539527015257
omni_pressure,0.3600216745116329
omni_vx_valid_points_30m,-0.354351936795261
goes_xrsa_flux,0.33001851864777465
goes_xrsb_flux,-0.30569803617016317
omni_bz_gsm_mean_30m,-0.3049646340671556
omni_bz_gsm_mean_10m,-0.286203472982945
ut_cos,0.28027463891053106
omni_vx_mean_30m,-0.2784875721807906
goes_xrsa_log10_roll_mean_60m,-0.24466953993607135
omni_f,0.22615860122955653
newell_phi_valid_points_30m,0.2259551248402113
goes_xrsb_log10_roll_max_60m,-0.2170606779557268
leo_dayside,0.20358667864292948
omni_bz_gsm_std_30m,0.1997680015238061
omni_proton_density,-0.17691780133647894
goes_xrsb_flux_log10,-0.1683424935422635
goes_xrsa_log10_roll_mean_15m,0.1658338727888863
doy_sin,-0.16202736136492035
goes_bz_gsm,-0.15819864828753114
newell_phi_mean_10m,0.1293229843679348
omni_by_gsm,0.12228127690621922
goes_xrsa_log10_lag_60m,-0.12076099493532505
goes_xrsb_minus_xrsa_log10,-0.11775791467005965
goes_xrsa_log10_roll_max_60m,0.1167991448568443
goes_xrsb_log10_roll_mean_60m,0.11259722068502205
leo_nightside,0.10727975799450469
omni_bz_gsm_valid_points_30m,0.09471082555726745
leo_high_lat_count,-0.09288803412634683
leo_dayside_count,-0.0913129711457482
leo_mid_lat,0.07764314379758784
goes_xrsa_log10_lag_15m,-0.06597161268131818
leo_mid_lat_count,-0.057825763149212873
goes_xrsb_log10_roll_mean_15m,0.05675113327346443
goes_xrsb_log10_lag_60m,-0.05023510226217767
goes_xrsb_log10_lag_5m,0.039567986952305144
newell_phi,0.03773275164162309
newell_phi_std_30m,-0.029820878556383212
leo_nightside_count,-0.026274666818960655
leo_high_lat,-0.022973133495527615
omni_vx_std_10m,-0.020715469070049567
goes_xrsa_log10_lag_5m,-0.01992657298012911
omni_bx_gse,-0.01964399684603955
newell_phi_std_10m,0.01845550270969908
omni_bz_gsm_std_10m,0.01599280894864264
omni_vx_std_30m,-0.014893818475680033
goes_xrsa_log10_roll_nvalid_15m,0.014232104114659775
goes_xrsb_log10_roll_nvalid_15m,0.01418759612074183
newell_phi_mean_30m,0.012915883643339074
omni_vx_mean_10m,-0.008477060633906986
goes_xrsa_flux_log10,-0.002296514080919424
goes_xrsb_log10_roll_nvalid_60m,-0.0007900801388664747
goes_xrsa_log10_roll_nvalid_60m,-0.0007244440580734627
