feature,shap_importance
omni_vx,1.549189594892224
ut_cos,0.9451923598257843
ut_sin,0.7497837177080668
omni_bz_gsm,0.5965461218732261
omni_by_gsm,0.37294607827682286
newell_phi_mean_30m,0.23548318295665824
goes_bx_gsm,0.22330543304737807
omni_bz_gsm_mean_10m,0.22045817303193815
goes_bt,0.16397082576786998
goes_by_gsm,0.14112267103173337
omni_proton_density,0.14003944266048643
goes_bz_gsm,0.13550844361182787
omni_vx_mean_10m,0.13441935468160443
omni_pressure,0.12532281485551586
doy_cos,0.11179357443788547
doy_sin,0.07619003622513645
omni_vx_mean_30m,0.07577480317145091
leo_dayside,0.0670253375122596
newell_phi_std_30m,0.06686707882400264
goes_xrsb_log10_lag_60m,0.06429649817602015
omni_bx_gse,0.0582635132786578
omni_bz_gsm_mean_30m,0.057967770583717215
newell_phi,0.04704054626189032
newell_phi_mean_10m,0.04185267091838969
goes_xrsb_log10_roll_max_60m,0.03450480429218916
goes_xrsb_log10_roll_mean_60m,0.03186834396651077
omni_bz_gsm_std_30m,0.03178271902642879
goes_xrsb_flux_log10,0.03154409147198687
goes_xrsb_minus_xrsa_log10,0.027238978300724567
goes_xrsb_log10_roll_mean_15m,0.026821976574537346
omni_f,0.02674177482775549
omni_bz_gsm_std_10m,0.0264790959977016
leo_nightside,0.025960608898756978
goes_xrsa_log10_roll_max_60m,0.025132079239853843
goes_xrsb_log10_lag_5m,0.024682939510247345
leo_high_lat,0.02303099917212782
omni_vx_std_30m,0.022582421696683085
goes_xrsb_flux,0.022172698456737836
goes_xrsb_log10_lag_15m,0.020366079464000045
goes_xrsa_log10_lag_60m,0.01929975589574919
goes_xrsa_log10_roll_mean_60m,0.01814836272075994
goes_xrsa_log10_roll_mean_15m,0.015921547336462574
newell_phi_std_10m,0.015561191964622334
omni_vx_std_10m,0.013800692199091526
leo_high_lat_count,0.013275529498571062
goes_xrsa_log10_lag_15m,0.012442759524887667
omni_bz_gsm_valid_points_10m,0.011115761284793899
goes_xrsa_log10_lag_5m,0.009861308658285136
goes_xrsa_log10_roll_nvalid_60m,0.00862774901891962
goes_xrsa_flux,0.007654760650731224
newell_phi_valid_points_30m,0.007643384615316794
omni_vx_valid_points_30m,0.00723732877510984
goes_xrsa_flux_log10,0.007051537630210122
omni_vx_valid_points_10m,0.006171539331619839
omni_bz_gsm_valid_points_30m,0.006049777043413766
newell_phi_valid_points_10m,0.00568478522916934
leo_mid_lat,0.005576466109827904
leo_mid_lat_count,0.002527081104904522
leo_dayside_count,0.0022679905502716803
goes_xrsb_log10_roll_nvalid_15m,0.0015610071485850177
goes_xrsb_log10_roll_nvalid_60m,0.0015506653781085155
leo_nightside_count,0.0010754500724771093
goes_xrsa_log10_roll_nvalid_15m,0.0005780528788475049
