date_utc,mlt,mlat,glon,glat,source
2015-01-01 02:08:00+00:00,23.56,69.0,308.03,62.23,forsyth
2015-01-01 02:12:00+00:00,23.63,69.98,308.27,64.17,ohtani
2015-01-01 02:42:00+00:00,22.7,72.0,291.62,62.5,forsyth
2015-01-01 03:13:00+00:00,0.75,69.0,307.87,62.19,forsyth
2015-01-01 03:50:00+00:00,22.9,70.0,282.26,59.41,forsyth
2015-01-01 03:57:00+00:00,1.75,72.64,307.1,65.42,ohtani
2015-01-01 07:47:00+00:00,20.87,71.0,218.66,69.61,forsyth
2015-01-01 07:50:00+00:00,20.92,71.5,216.35,70.14,ohtani
2015-01-01 07:53:00+00:00,20.98,71.5,216.35,70.14,newell
2015-01-01 17:06:00+00:00,22.65,69.34,80.7,73.53,ohtani
2015-01-01 17:44:00+00:00,1.97,66.0,129.77,71.89,forsyth
2015-01-01 19:01:00+00:00,21.54,73.0,21.28,76.45,forsyth
2015-01-01 20:07:00+00:00,22.6,73.0,21.29,76.45,forsyth
2015-01-01 21:47:00+00:00,10.26,71.0,218.65,69.61,forsyth
2015-01-01 21:54:00+00:00,23.76,67.8,22.22,70.54,ohtani
2015-01-01 22:19:00+00:00,0.4,68.19,25.79,71.09,newell
2015-01-02 00:03:00+00:00,2.0,71.0,16.82,74.06,forsyth
2015-01-02 01:50:00+00:00,23.22,69.98,308.27,64.17,ohtani
2015-01-02 02:10:00+00:00,21.09,70.39,281.85,60.82,newell
2015-01-02 02:11:00+00:00,21.09,70.0,282.47,59.42,forsyth
2015-01-02 05:15:00+00:00,1.8,74.0,293.77,64.91,forsyth
2015-01-02 12:05:00+00:00,1.25,65.45,212.57,65.12,ohtani
2015-01-02 12:06:00+00:00,1.27,65.0,213.52,64.57,forsyth
2015-01-02 12:06:00+00:00,1.28,65.45,212.14,64.87,newell
2015-01-02 12:40:00+00:00,2.3,66.59,218.84,64.78,newell
2015-01-02 13:00:00+00:00,1.4,70.64,203.38,71.32,newell
2015-01-02 16:46:00+00:00,11.04,75.99,273.77,66.52,newell
2015-01-02 16:46:00+00:00,9.16,63.0,256.16,53.56,forsyth
2015-01-02 17:29:00+00:00,2.79,65.67,147.89,70.62,ohtani
2015-01-02 18:05:00+00:00,4.45,65.0,172.65,69.93,forsyth
2015-01-02 18:08:00+00:00,2.33,66.71,128.92,71.59,newell
2015-01-02 18:42:00+00:00,5.55,65.37,180.63,68.88,newell
2015-01-02 18:43:00+00:00,5.55,65.0,182.89,69.07,forsyth
2015-01-02 19:10:00+00:00,3.3,66.71,128.92,71.59,newell
2015-01-02 19:54:00+00:00,5.02,65.0,149.18,70.88,forsyth
2015-01-02 20:19:00+00:00,6.58,65.92,170.9,70.08,newell
2015-01-02 21:11:00+00:00,8.88,70.0,205.66,70.94,forsyth
2015-01-02 22:10:00+00:00,0.6,64.77,35.02,67.97,newell
2015-01-02 22:11:00+00:00,0.6,64.0,33.07,67.92,forsyth
2015-01-02 23:23:00+00:00,0.99,65.0,17.87,68.12,forsyth
2015-01-02 23:27:00+00:00,0.81,63.82,12.5,66.11,ohtani
2015-01-02 23:30:00+00:00,1.12,65.14,20.42,67.84,newell
2015-01-03 01:00:00+00:00,2.79,64.03,20.42,67.84,ohtani
2015-01-03 01:05:00+00:00,2.5,61.0,17.43,64.21,forsyth
2015-01-03 01:16:00+00:00,21.04,66.7,291.6,58.1,newell
2015-01-03 05:36:00+00:00,22.81,73.6,263.99,64.32,ohtani
2015-01-03 05:49:00+00:00,3.66,67.0,309.23,60.46,forsyth
2015-01-03 06:48:00+00:00,23.37,63.8,254.74,55.2,ohtani
2015-01-03 06:51:00+00:00,23.43,63.0,255.53,53.67,forsyth
2015-01-03 06:51:00+00:00,2.22,70.39,281.85,60.82,newell
2015-01-03 10:36:00+00:00,3.12,63.0,255.34,53.7,forsyth
2015-01-03 10:36:00+00:00,5.91,70.39,281.85,60.82,newell
2015-01-03 11:03:00+00:00,0.12,65.45,212.14,64.87,newell
2015-01-03 11:27:00+00:00,0.5,71.5,216.35,70.14,newell
2015-01-04 01:55:00+00:00,23.3,69.0,308.05,62.23,forsyth
2015-01-04 03:52:00+00:00,0.28,74.0,294.0,64.95,forsyth
2015-01-04 06:11:00+00:00,22.8,67.0,256.32,58.22,newell
2015-01-04 06:15:00+00:00,22.85,67.0,257.23,57.47,forsyth
2015-01-04 06:28:00+00:00,23.09,67.0,256.32,58.22,ohtani
2015-01-04 07:05:00+00:00,22.95,67.0,249.19,58.91,forsyth
2015-01-04 07:19:00+00:00,23.21,67.48,248.07,60.03,newell
2015-01-04 11:06:00+00:00,3.07,64.0,249.5,55.8,forsyth
2015-01-04 11:06:00+00:00,3.09,64.28,248.79,56.66,newell
2015-01-04 11:50:00+00:00,5.47,66.0,265.87,55.36,forsyth
2015-01-04 11:53:00+00:00,1.97,63.93,224.78,61.01,newell
2015-01-04 13:01:00+00:00,3.19,63.93,224.78,61.01,newell
2015-01-04 13:02:00+00:00,3.19,63.0,225.72,60.02,forsyth
2015-01-04 13:58:00+00:00,4.14,63.0,225.96,59.97,forsyth
2015-01-04 14:45:00+00:00,2.16,65.37,180.63,68.88,newell
2015-01-04 15:46:00+00:00,4.85,65.45,212.14,64.87,newell
2015-01-04 15:46:00+00:00,5.78,63.0,226.63,59.82,forsyth
2015-01-04 16:14:00+00:00,4.39,70.64,203.38,71.32,newell
2015-01-04 16:54:00+00:00,19.27,65.6,27.29,68.56,newell
2015-01-04 17:28:00+00:00,19.68,71.89,19.2,74.5,newell
2015-01-04 19:10:00+00:00,5.45,65.0,172.61,69.93,forsyth
2015-01-04 19:21:00+00:00,3.46,66.71,128.92,71.59,newell
2015-01-04 19:51:00+00:00,3.94,66.71,128.92,71.59,newell
2015-01-04 22:26:00+00:00,0.28,61.0,25.24,64.6,forsyth
2015-01-04 22:36:00+00:00,0.46,61.47,27.23,64.52,newell
2015-01-04 23:20:00+00:00,1.24,64.0,24.43,67.52,forsyth
2015-01-04 23:21:00+00:00,1.27,64.41,26.63,67.37,newell
2015-01-05 01:04:00+00:00,0.31,65.01,338.3,64.18,newell
2015-01-05 01:05:00+00:00,0.31,65.0,336.35,63.67,forsyth
2015-01-05 05:38:00+00:00,2.35,63.9,298.3,56.4,ohtani
2015-01-05 05:41:00+00:00,2.41,63.0,297.98,54.22,forsyth
2015-01-05 06:06:00+00:00,23.64,68.0,266.5,57.38,forsyth
2015-01-05 07:08:00+00:00,5.0,69.0,307.57,62.14,forsyth
2015-01-05 08:52:00+00:00,22.33,66.0,220.62,64.13,forsyth
2015-01-05 11:22:00+00:00,0.45,65.45,212.14,64.87,newell
2015-01-05 11:22:00+00:00,0.43,65.0,213.33,64.61,forsyth
2015-01-05 11:23:00+00:00,0.45,65.45,212.57,65.12,ohtani
2015-01-05 13:45:00+00:00,22.49,66.71,128.92,71.59,newell
2015-01-05 13:45:00+00:00,22.47,66.0,129.32,71.88,forsyth
2015-01-05 13:46:00+00:00,22.49,66.71,128.92,71.59,ohtani
2015-01-05 14:13:00+00:00,23.98,65.67,147.89,70.62,newell
2015-01-05 16:43:00+00:00,5.55,71.0,219.25,69.49,forsyth
2015-01-05 18:09:00+00:00,6.76,71.0,218.8,69.58,forsyth
2015-01-05 18:32:00+00:00,2.67,66.71,128.92,71.59,ohtani
2015-01-05 18:41:00+00:00,2.81,66.0,129.68,71.88,forsyth
2015-01-06 05:16:00+00:00,1.93,63.9,298.3,56.4,ohtani
2015-01-06 05:17:00+00:00,10.88,69.0,79.36,74.18,forsyth
2015-01-06 05:58:00+00:00,3.71,69.0,307.41,62.1,forsyth
2015-01-06 08:12:00+00:00,6.06,69.0,307.7,62.16,forsyth
2015-01-06 08:41:00+00:00,0.22,69.42,245.52,62.48,newell
2015-01-06 08:41:00+00:00,0.21,69.0,247.01,61.42,forsyth
2015-01-06 09:02:00+00:00,4.34,70.39,281.85,60.82,newell
2015-01-06 10:40:00+00:00,7.46,63.9,298.3,56.4,newell
2015-01-06 16:15:00+00:00,11.12,78.0,279.14,67.8,forsyth
2015-01-06 16:17:00+00:00,12.78,78.52,291.4,70.5,newell
2015-01-07 07:31:00+00:00,2.86,70.39,282.71,60.05,ohtani
2015-01-07 07:55:00+00:00,4.2,66.0,291.62,56.25,forsyth
2015-01-07 08:02:00+00:00,3.4,65.01,282.24,55.28,newell
2015-01-07 08:32:00+00:00,22.84,60.12,227.05,56.81,newell
2015-01-07 08:41:00+00:00,4.0,63.0,282.78,52.16,forsyth
2015-01-07 08:52:00+00:00,22.86,63.93,224.78,61.01,newell
2015-01-07 09:46:00+00:00,3.49,72.45,267.89,62.82,newell
2015-01-07 10:08:00+00:00,5.39,70.39,281.85,60.82,newell
2015-01-07 15:28:00+00:00,2.23,65.0,173.19,69.89,forsyth
2015-01-07 21:11:00+00:00,17.48,63.0,298.2,54.26,forsyth
2015-01-07 21:38:00+00:00,2.84,69.0,79.61,74.18,forsyth
2015-01-07 22:44:00+00:00,0.1,61.87,18.75,64.61,ohtani
2015-01-08 00:17:00+00:00,1.7,66.86,16.03,69.3,ohtani
2015-01-08 00:47:00+00:00,2.82,68.0,23.15,71.44,forsyth
2015-01-08 03:35:00+00:00,9.02,69.0,79.81,74.19,forsyth
2015-01-08 03:36:00+00:00,23.54,66.7,291.6,58.1,ohtani
2015-01-08 04:00:00+00:00,21.33,68.5,265.91,58.76,newell
2015-01-08 04:01:00+00:00,21.33,68.0,266.73,57.36,forsyth
2015-01-08 04:21:00+00:00,21.71,68.5,265.91,58.76,newell
2015-01-08 08:39:00+00:00,21.33,70.87,216.35,70.14,ohtani
2015-01-08 08:41:00+00:00,21.68,71.5,216.35,70.14,newell
2015-01-08 08:41:00+00:00,21.66,71.0,218.63,69.62,forsyth
